Original Network Latency,Original Computing Latency,Original Throughput (kbps),Original Selected Bitrate (kbps),Original Resolution,Recommended Action,New Network Latency,New Computing Latency,New Throughput (kbps),New Selected Bitrate (kbps),New Resolution,Algorithm,success,Original_Total_Latency,New_Total_Latency,Latency_Bucket
1.162650318872707,0.8002460499285442,17094.347176612195,15000,1440p,Decrease Computing Latency,1.162650318872707,0.6364988530460826,18650.16671419983,15000,1440p,DQN,succeeded,1.9628963688012513,1.7991491719187898,1.1-2.1ms
1.4258664884263212,0.9560521398809932,14087.14454021677,8000,1080p,Decrease Both Latencies,1.12706952717274,0.6572551786274121,18805.115397958383,15000,1440p,DQN,succeeded,2.3819186283073144,1.7843247058001521,2.1-3.0ms
1.4613902019616736,1.2090023991236862,12565.35536623419,8000,1080p,Keep Latency,1.4613902019616736,1.2090023991236862,12565.35536623419,8000,1080p,DQN,unsuccessful,2.67039260108536,2.67039260108536,2.1-3.0ms
1.09042763945652,1.006515874409725,16001.590781114526,15000,1440p,Decrease Computing Latency,1.09042763945652,0.8027696879480425,17723.684432832324,15000,1440p,DQN,succeeded,2.096943513866245,1.8931973274045624,2.1-3.0ms
1.2659935967164495,1.003840563314873,14782.76809418401,8000,1080p,Decrease Both Latencies,1.0060045316798782,0.7438514982783017,19175.53868748958,15000,1440p,DQN,succeeded,2.2698341600313228,1.7498560299581798,2.1-3.0ms
1.5265372610119463,1.169321148910295,12446.65961554258,8000,1080p,Keep Latency,1.5265372610119463,1.169321148910295,12446.65961554258,8000,1080p,DQN,unsuccessful,2.6958584099222413,2.6958584099222413,2.1-3.0ms
1.0786866970757885,1.396502303321439,13556.31105124298,8000,1080p,Decrease Both Latencies,0.7464223157969974,1.064237922042648,18531.600406730548,15000,1440p,DQN,succeeded,2.4751890003972274,1.8106602378396455,2.1-3.0ms
1.014546453402748,0.6858599122769538,19733.184183056925,15000,1440p,Decrease Computing Latency,1.014546453402748,0.589262074780304,20921.71940126399,15000,1440p,DQN,succeeded,1.7004063656797017,1.6038085281830519,1.1-2.1ms
1.949453551906682,1.490264047137542,9754.996168674892,8000,1080p,Keep Latency,1.949453551906682,1.490264047137542,9754.996168674892,8000,1080p,DQN,unsuccessful,3.439717599044224,3.439717599044224,3.0-4.0ms
2.1198390576734583,1.664623797912319,8866.365790979942,8000,1080p,Keep Latency,2.1198390576734583,1.664623797912319,8866.365790979942,8000,1080p,DQN,unsuccessful,3.7844628555857773,3.7844628555857773,3.0-4.0ms
1.405316361244224,1.2597253755071662,12590.58405625643,8000,1080p,Keep Latency,1.405316361244224,1.2597253755071662,12590.58405625643,8000,1080p,DQN,unsuccessful,2.66504173675139,2.66504173675139,2.1-3.0ms
1.004730694951592,1.337768278426677,14324.203502898015,8000,1080p,Decrease Both Latencies,0.7197696487773678,1.0528072322524529,18929.74705870346,15000,1440p,DQN,succeeded,2.3424989733782686,1.7725768810298206,2.1-3.0ms
0.932641354720578,1.2718953487051674,15220.627512283198,15000,1440p,Keep Latency,0.932641354720578,1.2718953487051674,15220.627512283198,15000,1440p,DQN,unsuccessful,2.2045367034257453,2.2045367034257453,2.1-3.0ms
1.1876351825476286,0.9070398147516564,16018.920378226952,15000,1440p,Decrease Computing Latency,1.1876351825476286,0.7039985738070238,17738.334329929912,15000,1440p,DQN,succeeded,2.094674997299285,1.8916337563546524,2.1-3.0ms
2.478857465067515,1.7909742582949244,7858.490491886716,4000,720p,Decrease Both Latencies,1.4403964602983172,0.7525132535257268,15301.328544660892,15000,1440p,DQN,succeeded,4.269831723362439,2.192909713824044,4.0-4.9ms
1.5695913167090123,1.6136961739258715,10540.81106363026,8000,1080p,Keep Latency,1.5695913167090123,1.6136961739258715,10540.811063630264,8000,1080p,DQN,partially successful,3.183287490634884,3.183287490634884,3.0-4.0ms
1.5786952511732388,1.468251672244393,11012.476699910285,8000,1080p,Keep Latency,1.5786952511732388,1.468251672244393,11012.476699910285,8000,1080p,DQN,unsuccessful,3.046946923417632,3.046946923417632,3.0-4.0ms
1.301281487226527,1.8442424699477864,10667.358588533089,8000,1080p,Keep Latency,1.301281487226527,1.8442424699477864,10667.358588533089,8000,1080p,DQN,unsuccessful,3.1455239571743134,3.1455239571743134,3.0-4.0ms
2.339818222740304,2.066664459453212,7614.788124685617,4000,720p,Decrease Both Latencies,1.2494883483653123,0.9763345850782204,15075.067965127177,15000,1440p,DQN,succeeded,4.406482682193516,2.2258229334435327,4.0-4.9ms
1.5309817182744077,1.3251206098549244,11748.329767294164,8000,1080p,Keep Latency,1.5309817182744077,1.3251206098549244,11748.329767294164,8000,1080p,DQN,unsuccessful,2.856102328129332,2.856102328129332,2.1-3.0ms
1.131231404174842,1.0816493792604531,15163.235295445878,15000,1440p,Keep Latency,1.131231404174842,1.0816493792604531,15163.235295445882,15000,1440p,DQN,succeeded,2.212880783435295,2.212880783435295,2.1-3.0ms
1.0116356172882155,1.2728789133241505,14687.773507400589,8000,1080p,Decrease Both Latencies,0.746659820236175,1.00790311627211,19124.097119466056,15000,1440p,DQN,succeeded,2.284514530612366,1.754562936508285,2.1-3.0ms
1.3949912968072191,1.1023984679728511,13435.801040433482,8000,1080p,Keep Latency,1.3949912968072191,1.1023984679728511,13435.801040433482,8000,1080p,DQN,unsuccessful,2.4973897647800705,2.4973897647800705,2.1-3.0ms
1.482017411143637,1.2418848829862188,12318.515268448306,8000,1080p,Keep Latency,1.482017411143637,1.2418848829862188,12318.515268448306,8000,1080p,DQN,unsuccessful,2.723902294129856,2.723902294129856,2.1-3.0ms
0.7845663053529304,1.0727226893331891,18066.349445887216,15000,1440p,Decrease Computing Latency,0.7845663053529304,0.9379050153877267,19480.40097734208,15000,1440p,DQN,succeeded,1.8572889946861195,1.7224713207406572,1.1-2.1ms
1.4705209809405708,1.0569576998097585,13275.851644390028,8000,1080p,Keep Latency,1.4705209809405708,1.0569576998097585,13275.851644390028,8000,1080p,DQN,unsuccessful,2.5274786807503293,2.5274786807503293,2.1-3.0ms
1.0859847786761598,0.8347481799594532,17469.59766017411,15000,1440p,Decrease Computing Latency,1.0859847786761598,0.6828403949184293,18969.89736515962,15000,1440p,DQN,succeeded,1.920732958635613,1.768825173594589,1.1-2.1ms
1.1800836459796118,1.210086662845181,14038.5109279088,8000,1080p,Decrease Both Latencies,0.8783661892123185,0.9083692060778876,18779.74326162045,15000,1440p,DQN,succeeded,2.3901703088247928,1.786735395290206,2.1-3.0ms
1.430921872277532,1.0818631747425156,13353.482837615871,8000,1080p,Keep Latency,1.430921872277532,1.0818631747425156,13353.482837615871,8000,1080p,DQN,unsuccessful,2.5127850470200475,2.5127850470200475,2.1-3.0ms
1.3254778151235656,1.385249536407376,12378.386922996668,8000,1080p,Keep Latency,1.3254778151235656,1.385249536407376,12378.386922996668,8000,1080p,DQN,unsuccessful,2.7107273515309416,2.7107273515309416,2.1-3.0ms
2.651370890577821,2.468912309543476,6553.2375238942095,4000,720p,Keep Latency,2.651370890577821,2.468912309543476,6553.2375238942095,4000,720p,DQN,unsuccessful,5.120283200121297,5.120283200121297,4.9-5.9ms
1.5633888864582808,1.491281370694186,10984.633094663091,8000,1080p,Keep Latency,1.5633888864582808,1.491281370694186,10984.63309466309,8000,1080p,DQN,unsuccessful,3.054670257152467,3.054670257152467,3.0-4.0ms
1.9984190847522767,1.361985476934988,9985.235820282383,8000,1080p,Keep Latency,1.9984190847522767,1.361985476934988,9985.235820282383,8000,1080p,DQN,unsuccessful,3.3604045616872646,3.3604045616872646,3.0-4.0ms
1.2466388701361928,0.903331752381551,15606.925810319102,15000,1440p,Keep Latency,1.2466388701361928,0.903331752381551,15606.925810319102,15000,1440p,DQN,unsuccessful,2.1499706225177437,2.1499706225177437,2.1-3.0ms
1.3198030070381197,1.1261442755301108,13718.379066930684,8000,1080p,Decrease Both Latencies,0.9981358368471752,0.8044771053391662,18614.32990673124,15000,1440p,DQN,succeeded,2.4459472825682305,1.8026129421863413,2.1-3.0ms
1.7520315675652836,1.2217091652990255,11283.576819314829,8000,1080p,Keep Latency,1.7520315675652836,1.2217091652990255,11283.576819314829,8000,1080p,DQN,unsuccessful,2.973740732864309,2.973740732864309,2.1-3.0ms
0.6115611994668322,0.8578668746596729,22835.028533088484,15000,1440p,Decrease Both Latencies,0.5596160946273772,0.8059217698202179,24572.31899136965,15000,1440p,DQN,succeeded,1.4694280741265051,1.365537864447595,1.1-2.1ms
1.0322982781820318,1.0627682620301446,16015.92663333824,15000,1440p,Decrease Computing Latency,1.0322982781820318,0.8596054139476151,17735.803434174286,15000,1440p,DQN,succeeded,2.0950665402121764,1.891903692129647,2.1-3.0ms
1.405708378596678,1.009148833243917,13894.99629024647,8000,1080p,Decrease Both Latencies,1.0952052636470997,0.6986457182943386,18705.250512885363,15000,1440p,DQN,succeeded,2.414857211840595,1.7938509819414383,2.1-3.0ms
1.6299576742367456,1.0882620940390786,12344.267520828049,8000,1080p,Keep Latency,1.6299576742367456,1.0882620940390786,12344.267520828049,8000,1080p,DQN,unsuccessful,2.7182197682758242,2.7182197682758242,2.1-3.0ms
0.6992710636556587,1.0256219162508051,19453.05151732924,15000,1440p,Decrease Computing Latency,0.6992710636556587,0.9234575563545148,20677.784064589698,15000,1440p,DQN,succeeded,1.7248929799064638,1.6227286200101734,1.1-2.1ms
1.5465838643654544,1.3400448090355446,11624.090174530998,8000,1080p,Keep Latency,1.5465838643654544,1.3400448090355446,11624.090174530998,8000,1080p,DQN,unsuccessful,2.886628673400999,2.886628673400999,2.1-3.0ms
2.3610202554184885,1.7094763598929048,8243.326348382945,8000,1080p,Keep Latency,2.3610202554184885,1.7094763598929048,8243.326348382945,8000,1080p,DQN,unsuccessful,4.070496615311393,4.070496615311393,4.0-4.9ms
1.183193991180376,0.839907822605489,16585.636852951568,15000,1440p,Decrease Computing Latency,1.183193991180376,0.6586236488489816,18218.107629518177,15000,1440p,DQN,succeeded,2.023101813785865,1.8418176400293576,1.1-2.1ms
1.1671873064611336,1.267552220500892,13781.528425698962,8000,1080p,Decrease Both Latencies,0.8495572038901016,0.94992211792986,18646.7449740204,15000,1440p,DQN,succeeded,2.4347395269620256,1.7994793218199616,2.1-3.0ms
1.1188864818460105,1.5966956699720425,12356.257378380424,8000,1080p,Keep Latency,1.1188864818460105,1.5966956699720425,12356.257378380424,8000,1080p,DQN,unsuccessful,2.7155821518180527,2.7155821518180527,2.1-3.0ms
1.2361852340276362,1.4935264448277294,12292.298948609176,8000,1080p,Keep Latency,1.2361852340276362,1.4935264448277294,12292.298948609176,8000,1080p,DQN,unsuccessful,2.7297116788553657,2.7297116788553657,2.1-3.0ms
1.0463064731893978,0.8564710557212076,17634.448321034604,15000,1440p,Decrease Computing Latency,1.0463064731893978,0.7094900262537217,19110.66117892498,15000,1440p,DQN,succeeded,1.9027775289106055,1.7557964994431194,1.1-2.1ms
1.1370697996973065,1.5610631019426282,12436.167239799604,8000,1080p,Keep Latency,1.1370697996973065,1.5610631019426282,12436.167239799604,8000,1080p,DQN,unsuccessful,2.6981329016399345,2.6981329016399345,2.1-3.0ms
0.7352546866735314,0.8633729013907574,20989.52392072105,15000,1440p,Decrease Computing Latency,0.7352546866735314,0.7882377577479526,22024.67896894732,15000,1440p,DQN,succeeded,1.5986275880642888,1.5234924444214841,1.1-2.1ms
0.9549230633502372,0.8618562525618143,18469.18429008817,15000,1440p,Decrease Computing Latency,0.9549230633502372,0.7374743945939681,19826.567241928708,15000,1440p,DQN,succeeded,1.8167793159120516,1.6923974579442054,1.1-2.1ms
1.2849885767029314,1.1518400965680864,13769.71322114288,8000,1080p,Decrease Both Latencies,0.966607013688682,0.833458533553837,18640.672308517485,15000,1440p,DQN,succeeded,2.436828673271018,1.8000655472425189,2.1-3.0ms
0.8209807717676226,0.619955748222731,23286.54422626795,15000,1440p,Decrease Both Latencies,0.7735209096313647,0.5724958860864731,24928.687447845143,15000,1440p,DQN,succeeded,1.4409365199903537,1.3460167957178377,1.1-2.1ms
1.6781237406837717,1.2472017526080093,11470.324268853312,8000,1080p,Keep Latency,1.6781237406837717,1.2472017526080093,11470.324268853312,8000,1080p,DQN,unsuccessful,2.9253254932917807,2.9253254932917807,2.1-3.0ms
1.6095869531800486,1.7715906220964177,9923.889311627292,8000,1080p,Keep Latency,1.6095869531800486,1.7715906220964177,9923.889311627288,8000,1080p,DQN,unsuccessful,3.3811775752764666,3.3811775752764666,3.0-4.0ms
0.9060049002496738,0.7724294076863919,19991.50746701618,15000,1440p,Decrease Computing Latency,0.9060049002496738,0.6806955349024214,21147.30118970667,15000,1440p,DQN,succeeded,1.6784343079360657,1.5867004351520952,1.1-2.1ms
1.2159770326588852,1.0352748273396055,14904.7881297575,8000,1080p,Decrease Both Latencies,0.9622559496022528,0.7815537442829732,19242.02630462524,15000,1440p,DQN,succeeded,2.251251859998491,1.7438096938852259,2.1-3.0ms
1.2770146044870088,1.7925691161337491,10931.264644970926,8000,1080p,Keep Latency,1.2770146044870088,1.7925691161337491,10931.264644970926,8000,1080p,DQN,unsuccessful,3.069583720620758,3.069583720620758,3.0-4.0ms
1.1074407461105331,0.7458444556445241,18105.379554222967,15000,1440p,Decrease Computing Latency,1.1074407461105331,0.612075074561547,19513.883848352794,15000,1440p,DQN,succeeded,1.8532852017550572,1.71951582067208,1.1-2.1ms
1.142399864217052,0.7881448428628888,17380.810647349885,15000,1440p,Decrease Computing Latency,1.142399864217052,0.6335154775467733,18894.161906768597,15000,1440p,DQN,succeeded,1.9305447070799409,1.7759153417638254,1.1-2.1ms
0.8941015333102642,0.8320274683613043,19439.121854453624,15000,1440p,Decrease Computing Latency,0.8941015333102642,0.7295780886080568,20665.672924044346,15000,1440p,DQN,succeeded,1.7261290016715685,1.623679621918321,1.1-2.1ms
1.1642541111574858,1.6319474499231938,12000.004744662196,8000,1080p,Keep Latency,1.1642541111574858,1.6319474499231938,12000.004744662196,8000,1080p,DQN,unsuccessful,2.7962015610806796,2.7962015610806796,2.1-3.0ms
1.3691427776218643,1.5687115065157216,11421.40785578478,8000,1080p,Keep Latency,1.3691427776218643,1.5687115065157216,11421.40785578478,8000,1080p,DQN,unsuccessful,2.937854284137586,2.937854284137586,2.1-3.0ms
1.00275758896237,0.98446602644655,16885.08114528186,15000,1440p,Decrease Computing Latency,1.00275758896237,0.8137200451868012,18472.25166398304,15000,1440p,DQN,succeeded,1.98722361540892,1.8164776341491713,1.1-2.1ms
1.0642190644691345,1.0218544234446838,16084.97121237861,15000,1440p,Decrease Computing Latency,1.0642190644691345,0.8214777527088047,17794.181808195583,15000,1440p,DQN,succeeded,2.0860734879138185,1.8856968171779394,2.1-3.0ms
1.3537510166682598,2.0050833734312308,9989.903669828182,8000,1080p,Keep Latency,1.3537510166682598,2.0050833734312308,9989.903669828182,8000,1080p,DQN,unsuccessful,3.3588343900994904,3.3588343900994904,3.0-4.0ms
1.4759081985460178,1.9007895087829143,9937.055344685428,8000,1080p,Keep Latency,1.4759081985460178,1.9007895087829143,9937.055344685428,8000,1080p,DQN,unsuccessful,3.3766977073289324,3.3766977073289324,3.0-4.0ms
1.301794645260764,1.3366240424430575,12717.629751630491,8000,1080p,Keep Latency,1.301794645260764,1.3366240424430575,12717.629751630491,8000,1080p,DQN,unsuccessful,2.6384186877038216,2.6384186877038216,2.1-3.0ms
0.7050917432422339,0.885691171648348,21093.030158868634,15000,1440p,Decrease Computing Latency,0.7050917432422339,0.8120954304695209,22116.21122389932,15000,1440p,DQN,succeeded,1.5907829148905819,1.5171871737117548,1.1-2.1ms
1.0283084645836085,1.0283385015346738,16315.11511347554,15000,1440p,Decrease Computing Latency,1.0283084645836085,0.8369758802753129,17988.909890592502,15000,1440p,DQN,succeeded,2.056646966118282,1.8652843448589214,1.1-2.1ms
1.395151714320717,1.449578070445685,11795.296755313915,8000,1080p,Keep Latency,1.395151714320717,1.449578070445685,11795.296755313915,8000,1080p,DQN,unsuccessful,2.844729784766402,2.844729784766402,2.1-3.0ms
1.635556265576206,1.190272963707408,11874.18958381519,8000,1080p,Keep Latency,1.635556265576206,1.190272963707408,11874.18958381519,8000,1080p,DQN,unsuccessful,2.825829229283614,2.825829229283614,2.1-3.0ms
1.0275483190223622,1.1500707423244,15408.770338025995,15000,1440p,Keep Latency,1.0275483190223622,1.1500707423244,15408.770338025995,15000,1440p,DQN,unsuccessful,2.1776190613467623,2.1776190613467623,2.1-3.0ms
1.0437870169187673,1.1742367868886636,15128.0756962125,15000,1440p,Keep Latency,1.0437870169187673,1.1742367868886636,15128.0756962125,15000,1440p,DQN,unsuccessful,2.218023803807431,2.218023803807431,2.1-3.0ms
1.6287635964222886,1.6993826522637123,10082.018484989285,8000,1080p,Keep Latency,1.6287635964222886,1.6993826522637123,10082.018484989285,8000,1080p,DQN,unsuccessful,3.328146248686001,3.328146248686001,3.0-4.0ms
1.0051300033606978,0.7253349551411672,19390.414024361093,15000,1440p,Decrease Computing Latency,1.0051300033606978,0.6218826810418095,20623.33767995318,15000,1440p,DQN,succeeded,1.730464958501865,1.6270126844025072,1.1-2.1ms
0.7424317817071989,0.5796582877840727,25379.838162547763,15000,1440p,Decrease Both Latencies,0.711206578653641,0.5484330847305148,26638.119595132823,15000,1440p,DQN,succeeded,1.3220900694912716,1.2596396633841558,1.1-2.1ms
1.126857488512917,1.1800746869784136,14545.04486801983,8000,1080p,Decrease Both Latencies,0.8542087709354802,0.9074259694009768,19047.326458600262,15000,1440p,DQN,succeeded,2.3069321754913306,1.761634740336457,2.1-3.0ms
0.9569085431392264,1.2963868101689329,14891.271111324711,8000,1080p,Decrease Both Latencies,0.7025006215887502,1.0419788886184569,19234.638070363148,15000,1440p,DQN,succeeded,2.253295353308159,1.744479510207207,2.1-3.0ms
0.9933158146741242,0.9118673415847472,17612.181742090055,15000,1440p,Decrease Computing Latency,0.9933158146741242,0.7642302995466652,19091.63675905961,15000,1440p,DQN,succeeded,1.9051831562588715,1.7575461142207893,1.1-2.1ms
0.7319137090041119,1.019719544745663,19156.083003202297,15000,1440p,Decrease Computing Latency,0.7319137090041119,0.9113034459584504,20419.962083930703,15000,1440p,DQN,succeeded,1.751633253749775,1.6432171549625623,1.1-2.1ms
1.7124056117018631,1.6830080435655996,9882.281043414388,8000,1080p,Keep Latency,1.7124056117018631,1.6830080435655996,9882.281043414388,8000,1080p,DQN,unsuccessful,3.395413655267463,3.395413655267463,3.0-4.0ms
1.0976833775608748,1.273587609775306,14150.3995870561,8000,1080p,Decrease Both Latencies,0.8026426890438734,0.9785469212583048,18838.214531415048,15000,1440p,DQN,succeeded,2.371270987336181,1.781189610302178,2.1-3.0ms
0.8763708677954278,1.1621691086470267,16460.031389012693,15000,1440p,Decrease Computing Latency,0.8763708677954278,0.9762731948911532,18111.645229543767,15000,1440p,DQN,succeeded,2.0385399764424545,1.852644062686581,1.1-2.1ms
0.863426559952188,1.287179402677914,15602.31515352274,15000,1440p,Keep Latency,0.863426559952188,1.287179402677914,15602.31515352274,15000,1440p,DQN,unsuccessful,2.150605962630102,2.150605962630102,2.1-3.0ms
1.3450056010518203,1.288929969132183,12739.2759260455,8000,1080p,Keep Latency,1.3450056010518203,1.288929969132183,12739.2759260455,8000,1080p,DQN,unsuccessful,2.6339355701840033,2.6339355701840033,2.1-3.0ms
0.9952060753865776,1.0597734213959749,16328.353666075804,15000,1440p,Decrease Computing Latency,0.9952060753865776,0.8689168027921846,18000.11812138827,15000,1440p,DQN,succeeded,2.0549794967825523,1.8641228781787622,1.1-2.1ms
2.549118411648527,2.222039507427013,7032.764911395243,4000,720p,Keep Latency,2.549118411648527,2.222039507427013,7032.764911395243,4000,720p,DQN,unsuccessful,4.77115791907554,4.77115791907554,4.0-4.9ms
1.1221784558546044,0.7768667275810914,17669.106713561352,15000,1440p,Decrease Computing Latency,1.1221784558546044,0.6309010004164037,19140.28019663977,15000,1440p,DQN,succeeded,1.8990451834356958,1.7530794562710081,1.1-2.1ms
1.1406637551313774,0.9487857119462676,16058.982295910724,15000,1440p,Decrease Computing Latency,1.1406637551313774,0.7473648152195927,17772.205636571744,15000,1440p,DQN,succeeded,2.089449467077645,1.8880285703509703,2.1-3.0ms
